team,MP,W,D,L,GF,GA,GD,Pts,Performance_SoTA,Performance_Saves,Performance_CS,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Total_Cmp,Total_Att,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Medium_Cmp,Medium_Att,Long_Cmp,Long_Att,KP,1/3,PPA,CrsPA,Team Success_PPM,Team Success (xG)_onxGA,Poss,Performance_Gls,Performance_Ast,Performance_CrdY,Performance_CrdR,Expected_xG,Progression_PrgC,Progression_PrgP,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Take-Ons_Att,Take-Ons_Succ,Performance_Fls,Performance_Fld,Performance_Crs,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,SCA_SCA,GCA_GCA,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Lost,Blocks_Blocks,Int,Clr,Err,Standard_Sh,Standard_SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt
Arsenal,38,20,14,4,69,34,35,74,120,86,13,3,3,0,18608,1553,432,80,74,766,598,251,17066,20241,278808,87055,8591,9363,7129,7999,1031,2022,428,1397,437,75,1.95,34.4,56.9,67,55,70,6,59.9,852,1826,24056,1844,6064,10362,7808,1282,24054,14234,75544,40246,852,540,286,726,320,401,405,766,2,3,0,1436,471,465,969,119,598,348,220,249,129,260,515,255,328,225,680,33,544,178,15.1,10,2,2
Aston Villa,38,19,9,10,58,51,7,66,156,104,9,3,2,1,16044,1698,583,95,58,604,497,230,14701,17797,252637,88182,6778,7510,6555,7386,1088,2065,358,1137,319,56,1.74,50.1,50.5,56,45,76,4,56.1,720,1344,21699,2646,7301,9257,5362,951,21693,12334,68906,36242,720,448,212,726,327,406,499,604,6,3,0,1418,378,423,849,102,637,372,293,249,95,310,546,236,329,240,788,43,478,159,16.3,12,3,6
Bournemouth,38,15,11,12,58,46,12,56,172,126,9,4,4,0,15136,1694,430,59,78,832,686,228,12977,16900,233955,86767,5648,6514,5659,6670,1365,2819,437,1242,339,106,1.47,48.5,48.5,57,41,97,3,64.0,754,1489,21618,2217,6444,9314,6128,1005,21611,11733,69030,36709,754,534,228,672,294,525,400,832,7,4,0,1821,573,606,1012,93,691,399,290,299,102,301,627,326,459,351,1013,22,574,192,16.7,10,6,7
Brentford,38,16,8,14,66,57,9,56,207,153,8,1,1,0,15453,1584,386,69,71,674,602,174,13358,17100,245539,93263,5849,6739,5826,6875,1449,2741,330,1104,325,91,1.47,55.4,47.9,65,44,62,1,59.0,598,1356,21491,3282,8328,8055,5310,987,21485,11412,61938,31661,598,380,213,627,265,320,339,674,6,1,3,1644,624,567,780,113,633,380,289,223,121,314,596,282,480,285,1040,28,434,173,14.9,10,5,6
Brighton,38,16,13,9,66,59,7,61,147,90,8,9,9,0,17527,1615,482,77,76,704,605,188,15820,19188,268916,90984,7629,8443,6541,7472,1313,2397,377,1189,339,87,1.61,54.6,52.3,64,41,78,3,58.7,816,1539,23677,2601,7503,10292,6153,1085,23670,13919,76882,41746,816,576,263,797,338,438,411,704,6,9,2,1624,518,463,933,113,705,431,287,297,121,350,703,353,439,315,762,29,526,183,17.2,25,7,7
Chelsea,38,20,9,9,64,43,21,69,155,111,11,6,5,1,19613,1642,516,79,95,663,587,234,18033,21320,311166,98339,8067,8802,8244,9120,1369,2547,457,1488,346,73,1.82,47.3,57.1,61,47,101,2,67.8,861,1595,25217,2410,7564,11375,6497,1115,25212,14501,78314,41394,861,493,317,783,326,436,444,663,5,6,0,1577,402,390,1061,109,588,371,243,244,101,273,536,263,356,272,695,45,590,203,16.7,17,4,5
Crystal Palace,38,13,14,11,51,51,0,53,150,101,11,2,1,1,14066,1614,440,71,59,605,621,171,11875,15754,213257,80237,5198,6077,5285,6317,1137,2545,379,886,272,69,1.39,49.1,42.8,49,38,80,4,60.4,510,1158,20389,2570,7689,8442,4455,796,20385,10275,51887,25304,510,354,126,500,209,417,403,605,4,2,3,1698,511,636,877,89,767,450,374,300,93,324,643,319,485,334,1088,19,512,175,16.8,19,3,4
Everton,38,11,15,12,42,44,-2,48,163,117,12,2,0,2,13245,1627,424,30,83,682,678,154,11405,14953,215027,85013,5039,5809,4604,5451,1526,2901,298,1003,261,92,1.26,46.2,40.9,39,27,82,2,41.8,486,1041,19408,2462,6930,7927,4762,732,19406,9535,51039,25414,486,364,119,636,283,430,384,682,1,2,0,1524,614,564,713,68,732,433,366,269,97,338,656,318,392,345,1088,25,404,139,16.8,11,2,2
Fulham,38,15,9,14,54,54,0,54,159,106,5,4,3,1,18077,1633,437,43,119,894,636,203,16199,19753,289508,97635,7195,8007,7222,8198,1504,2703,398,1346,343,108,1.42,47.2,52.3,53,44,80,2,49.0,786,1558,23926,2641,8095,9787,6287,954,23922,14026,73723,38440,786,544,213,637,288,432,359,894,3,4,2,1610,533,532,940,99,679,411,327,259,93,289,565,276,382,302,914,33,516,167,16.4,10,3,4
Ipswich Town,38,4,10,24,36,82,-46,22,210,130,2,6,6,0,13146,1577,434,44,60,505,572,145,11524,14775,204832,77912,5157,5835,5115,5988,1021,2184,283,865,173,54,0.58,72.7,40.6,35,26,93,5,34.4,513,935,19091,3012,7764,7504,4032,605,19089,9384,53129,26144,513,330,150,643,277,430,404,505,2,6,2,1437,552,533,658,58,589,340,294,214,81,281,604,323,436,303,1102,39,374,120,17.7,10,2,2
Leicester City,38,6,7,25,33,80,-47,25,209,131,3,4,3,1,15728,1695,449,52,47,621,664,139,13945,17486,234016,83996,6703,7482,5797,6664,1073,2370,252,953,216,67,0.66,71.9,45.4,33,25,87,0,32.6,576,1082,21748,2881,8066,9845,4048,632,21745,12276,61780,30421,576,365,143,638,264,420,393,621,3,4,3,1478,503,579,585,56,728,431,361,278,89,336,695,359,505,327,987,31,332,105,17.3,8,2,3
Liverpool,38,25,9,4,86,41,45,84,138,98,14,2,1,1,19998,1700,448,69,128,729,682,252,18303,21758,312343,104887,8615,9382,7893,8905,1412,2550,509,1583,430,83,2.21,38.6,57.7,85,65,67,3,82.2,826,1924,25903,2421,7283,11575,7274,1315,25894,14934,76153,41062,826,558,323,677,301,430,359,729,6,2,2,1621,406,368,1151,147,642,391,271,267,104,340,656,316,367,299,724,31,639,215,15.9,11,9,9
Manchester City,38,21,8,9,72,44,28,71,128,86,13,4,4,0,22822,1576,449,86,90,659,603,253,21531,24443,349984,98901,11071,11923,8884,9710,1281,2040,472,1685,440,62,1.87,47.7,61.3,71,51,59,2,68.1,1146,1944,28103,2092,6503,12076,9753,1348,28099,18077,103744,56163,1146,863,404,799,377,287,382,659,4,4,2,1437,310,334,1096,125,497,299,183,216,98,214,449,235,331,229,619,35,603,208,16.9,21,3,4
Manchester Utd,38,11,9,18,44,54,-10,42,149,96,10,4,3,1,18750,1596,414,94,107,630,646,197,16837,20415,278154,89708,8233,9125,6855,7768,1257,2438,406,1141,335,73,1.11,53.8,53.5,42,29,86,3,52.6,697,1448,24734,2553,8593,10460,5908,967,24730,15116,75007,37992,697,475,230,621,252,403,371,630,4,4,2,1736,486,488,939,70,817,493,394,305,118,400,723,323,386,358,759,26,524,168,17.4,15,4,4
Newcastle Utd,38,20,6,12,68,47,21,66,161,115,13,2,1,1,17088,1739,482,78,94,705,704,217,15416,18898,260464,91034,7416,8283,6475,7373,1193,2313,399,1149,399,70,1.74,45.5,51.3,66,50,68,1,63.8,759,1595,23032,2284,7468,9671,6124,1082,23026,13016,71021,36065,759,474,263,657,282,394,450,705,4,2,2,1632,487,466,938,115,603,371,275,235,93,306,604,298,411,270,884,34,519,163,15.9,14,5,6
Nott'ham Forest,38,19,8,11,58,46,12,65,165,119,13,3,3,0,12658,1617,436,59,62,621,615,159,10822,14366,185832,74897,5322,6094,4065,5011,1038,2339,333,974,241,64,1.71,48.9,41.2,57,42,90,2,45.5,633,1125,18996,2463,6477,7689,5063,785,18993,8768,49825,26563,633,384,187,581,259,401,419,621,3,3,0,1588,570,559,798,91,698,419,406,225,67,343,670,327,427,322,1220,24,460,162,17.5,15,3,3
Southampton,38,2,6,30,26,86,-60,12,245,157,3,9,7,2,16979,1533,468,43,60,548,493,152,15530,18561,263566,84964,7279,7996,6699,7455,1175,2271,269,989,218,60,0.32,84.8,48.5,25,16,89,3,32.7,640,1127,22776,3003,8424,9788,4766,688,22774,12656,66945,34286,640,460,165,736,312,459,421,548,2,9,0,1440,468,421,616,42,652,378,310,266,76,280,584,304,433,305,988,51,341,106,16.3,7,0,2
Tottenham,38,11,5,22,64,65,-1,38,180,119,6,3,3,0,18013,1884,561,54,70,752,705,243,16513,19960,275248,93006,7576,8440,7372,8289,1101,2084,375,1254,369,83,1.0,63.3,54.7,61,47,72,1,58.8,840,1593,24315,2626,8159,10173,6223,1001,24311,15073,82903,41758,840,566,249,812,308,446,483,752,4,3,4,1659,422,437,875,106,661,414,285,271,105,296,598,302,448,322,821,41,493,177,16.0,13,3,4
West Ham,38,11,10,17,46,62,-16,43,186,127,7,3,3,0,16678,1612,437,53,133,613,612,152,14820,18363,258653,90743,6989,7831,6245,7153,1346,2580,331,1075,267,72,1.13,59.7,48.4,43,29,82,3,47.0,632,1222,22887,2942,8352,9852,4896,839,22884,11796,59439,29684,632,394,175,793,347,443,397,613,2,3,3,1558,587,560,815,67,654,388,317,253,84,290,532,242,440,331,1037,28,473,137,16.3,14,3,3
Wolves,38,12,6,20,54,69,-15,42,168,100,8,9,7,2,16133,1689,495,55,122,568,696,147,14472,17884,246100,83847,6855,7612,5909,6712,1251,2503,323,1011,276,72,1.11,58.1,48.1,53,42,79,2,43.7,607,1185,22329,2578,7797,10051,4750,729,22328,12486,66974,34365,607,458,146,731,324,480,425,568,0,9,3,1659,451,475,756,96,801,471,412,305,84,373,669,296,437,298,947,25,431,155,18.1,18,0,0
